,area,price/m2
0,Billinghurst - Norte,870.9757006483567
1,Billinghurst - Sur,999.3050202530145
2,José León Suarez - Este,1150.9992100925567
3,José León Suarez - Oeste,863.145061582081
4,José León Suarez - Villa Godoy Cruz,1291.193851197876
5,Loma Hermosa,861.3457152436646
6,San Andrés - Norte,1224.78411765652
7,San Andrés - Sur,1530.679511817256
8,San Martín,1764.0780139169954
9,Villa Ballester - Alvear Norte,2071.015426565351
10,Villa Ballester - Alvear Sur,1878.8074609140647
11,Villa Ballester - Gral. Guido,1530.0180896117017
12,Villa Ballester - Las Heras Norte,1740.7504808734534
13,Villa Ballester - Las Heras Sur,1167.5674087860978
14,Villa Ballester - Norte,1536.8824985125666
15,Villa Ballester - VIlla De Sucre,1316.5685740919926
16,Villa Ballester - Villa Zapiola,939.1168132278133
17,Villa Lynch - Sur,1168.1575383652546
18,Villa Lynch - Villa Chacabuco,1470.9723385685652
19,Villa Maipú,1236.0197780254393
