,price_USD,type,covered_surface_m2,bedrooms,bathrooms,latitude,longitude,seller,antiquity
0,,departamento,44.0,1.0,1.0,,,,6.0
1,122000.0,departamento,53.0,1.0,2.0,-34.545467,-58.552177,Altamirano Propiedades,4.0
2,93500.0,departamento,55.0,1.0,1.0,-34.54974,-58.55043,MANCINI PROPIEDADES,0.0
3,69000.0,departamento,42.0,1.0,1.0,-34.543205,-58.552757,FALUGUE PROPIEDADES,1.0
4,150000.0,departamento,85.0,2.0,2.0,-34.548748,-58.55684,Matias Fortini Propiedades,0.0
5,130000.0,departamento,52.0,1.0,2.0,-34.54933,-58.55105,H. Calvo & Cia.,
6,289100.0,departamento,128.0,3.0,2.0,-34.546143,-58.551445,MANCINI PROPIEDADES,0.0
7,138000.0,departamento,62.0,2.0,2.0,-34.554623,-58.559063,Altamirano Propiedades,6.0
8,200000.0,departamento,94.0,2.0,2.0,-34.547916,-58.55587,Matias Fortini Propiedades,10.0
9,81000.0,departamento,,1.0,1.0,-34.60909,-58.38113,PALLARS DESAROLLOS,0.0
10,129000.0,departamento,,2.0,2.0,-34.576347,-58.531612,PALLARS DESAROLLOS,0.0
11,135000.0,departamento,,2.0,1.0,-34.572617,-58.53586,PALLARS DESAROLLOS,0.0
12,229000.0,departamento,,2.0,1.0,-34.572506,-58.536545,PALLARS DESAROLLOS,0.0
13,55000.0,departamento,55.0,1.0,2.0,-34.5627,-58.592316,MANCINI PROPIEDADES,0.0
14,210000.0,departamento,74.0,2.0,1.0,-34.57495,-58.545883,MANCINI PROPIEDADES,0.0
15,69000.0,departamento,40.0,1.0,1.0,-34.57792,-58.53762,LAURA FARIAS PROPIEDADES,9.0
16,91000.0,departamento,62.0,2.0,2.0,-34.575504,-58.54231,Grupo Dinal y Lener Constructora,0.0
17,62000.0,departamento,38.0,1.0,1.0,-34.57044,-58.53851,Gomez de Montanari Desarollos Inmobiliarios,
18,118000.0,departamento,62.0,2.0,2.0,-34.57497,-58.542233,Grupo Dinal y Lener Constructora,0.0
19,104000.0,departamento,60.0,2.0,1.0,-34.579964,-58.540276,J. Wolf Propiedades,0.0
20,60000.0,departamento,41.0,1.0,1.0,-34.575752,-58.537094,J. Wolf Propiedades,0.0
21,22000.0,departamento,31.0,0.0,,-34.541992,-58.56495,ESTUDIO CARL,0.0
