,price_USD,type,covered_surface_m2,bedrooms,price/m2,bathrooms,latitude,longitude
0,122000.0,departamento,53.0,1.0,2217.485589082153,2.0,-34.545467,-58.552177
1,150000.0,departamento,85.0,2.0,2217.485589082153,2.0,-34.548748,-58.55684
2,289100.0,departamento,128.0,3.0,2217.485589082153,2.0,-34.546143,-58.551445
3,200000.0,departamento,94.0,2.0,2217.485589082153,2.0,-34.547916,-58.55587
4,200000.0,departamento,98.0,2.0,2217.485589082153,2.0,-34.547894,-58.557316
5,320000.0,casa,212.0,4.0,2217.485589082153,3.0,-34.546024,-58.55754
6,375000.0,casa,250.0,4.0,2217.485589082153,4.0,-34.545208,-58.558044
7,150000.0,casa,65.0,3.0,2217.485589082153,2.0,-34.546497,-58.5606
8,75000.0,departamento,31.0,0.0,2217.485589082153,1.0,-34.54572,-58.554474
9,72000.0,departamento,38.0,0.0,2217.485589082153,1.0,-34.54648,-58.554108
10,280000.0,casa,233.0,2.0,2217.485589082153,2.0,-34.545486,-58.55402
11,396600.0,departamento,139.0,3.0,2217.485589082153,2.0,-34.546143,-58.551445
12,89000.0,ph,52.0,2.0,2217.485589082153,1.0,-34.54653,-58.56051
13,95000.0,ph,51.0,2.0,2217.485589082153,1.0,-34.54564,-58.55931
14,198000.0,departamento,98.0,3.0,2217.485589082153,2.0,-34.54599,-58.55156
15,188000.0,casa,176.0,3.0,2217.485589082153,1.0,-34.544796,-58.554695
16,480000.0,casa,400.0,4.0,2217.485589082153,4.0,-34.546204,-58.550915
17,140000.0,departamento,66.0,2.0,2217.485589082153,1.0,-34.54756,-58.55311
18,77000.0,departamento,34.0,1.0,2217.485589082153,1.0,-34.5458,-58.554466
19,125000.0,ph,90.0,2.0,2217.485589082153,2.0,-34.543,-58.553623
20,150000.0,departamento,53.0,2.0,2217.485589082153,1.0,-34.54383,-58.55392
21,89000.0,departamento,52.0,2.0,2217.485589082153,1.0,-34.54653,-58.56051
22,89000.0,departamento,48.0,1.0,2217.485589082153,1.0,-34.546936,-58.55229
23,157000.0,departamento,70.0,2.0,2217.485589082153,1.0,-34.546528,-58.552322
24,170000.0,casa,77.0,2.0,2217.485589082153,2.0,-34.545044,-58.55357
25,139000.0,departamento,72.0,2.0,2217.485589082153,1.0,-34.54521,-58.552395
26,95000.0,departamento,49.0,1.0,2217.485589082153,1.0,-34.54569,-58.554424
27,115000.0,departamento,55.0,1.0,2217.485589082153,1.0,-34.54759,-58.55432
28,119000.0,departamento,75.0,2.0,2217.485589082153,1.0,-34.548588,-58.55517
29,129000.0,ph,88.0,2.0,2217.485589082153,1.0,-34.54351,-58.554222
30,162000.0,departamento,70.0,2.0,2217.485589082153,2.0,-34.547573,-58.558624
31,145000.0,departamento,72.0,2.0,2217.485589082153,1.0,-34.547276,-58.556465
32,150000.0,departamento,68.0,1.0,2217.485589082153,1.0,-34.546143,-58.551445
33,85000.0,departamento,40.0,1.0,2217.485589082153,1.0,-34.549164,-58.554764
34,145000.0,departamento,70.0,2.0,2217.485589082153,1.0,-34.547554,-58.5543
35,220000.0,departamento,85.0,2.0,2217.485589082153,2.0,-34.54771,-58.55637
36,125000.0,ph,92.0,2.0,2217.485589082153,2.0,-34.54644,-58.559933
37,144000.0,departamento,58.0,2.0,2217.485589082153,1.0,-34.547775,-58.556747
38,144000.0,departamento,62.0,2.0,2217.485589082153,1.0,-34.547806,-58.556816
39,110000.0,departamento,40.0,1.0,2217.485589082153,1.0,-34.548473,-58.557133
40,160000.0,departamento,70.0,2.0,2217.485589082153,2.0,-34.54493,-58.55261
41,370000.0,casa,280.0,4.0,2217.485589082153,3.0,-34.54889,-58.555584
42,290000.0,departamento,130.0,3.0,2217.485589082153,2.0,-34.54807,-58.555813
43,255000.0,departamento,107.0,3.0,2217.485589082153,2.0,-34.54607,-58.551414
44,118000.0,departamento,62.0,2.0,2217.485589082153,1.0,-34.548126,-58.555897
45,110000.0,departamento,60.0,2.0,2217.485589082153,1.0,-34.546112,-58.55239
46,245000.0,casa,245.0,3.0,2217.485589082153,2.0,-34.543194,-58.556305
47,142000.0,ph,100.0,3.0,2217.485589082153,2.0,-34.542664,-58.555378
48,99000.0,departamento,45.0,1.0,2217.485589082153,1.0,-34.548473,-58.557133
49,180000.0,casa,90.0,2.0,2217.485589082153,1.0,-34.54618,-58.55426
50,145000.0,departamento,78.0,2.0,2217.485589082153,1.0,-34.54701,-58.5512
51,76000.0,departamento,47.0,1.0,2217.485589082153,1.0,-34.54743,-58.552677
52,198000.0,ph,120.0,2.0,2217.485589082153,1.0,-34.546337,-58.55757
53,65000.0,departamento,50.0,1.0,2217.485589082153,1.0,-34.54777,-58.55627
54,302700.0,departamento,84.0,2.0,2217.485589082153,2.0,-34.546143,-58.551445
55,179000.0,departamento,72.0,2.0,2217.485589082153,2.0,-34.548832,-58.556828
56,155000.0,departamento,70.0,2.0,2217.485589082153,2.0,-34.545593,-58.553432
57,188000.0,casa,150.0,2.0,2217.485589082153,1.0,-34.54504,-58.55466
58,95000.0,departamento,55.0,1.0,2217.485589082153,1.0,-34.54864,-58.556835
59,85000.0,departamento,44.0,1.0,2217.485589082153,1.0,-34.54648,-58.554108
60,125000.0,departamento,90.0,2.0,2217.485589082153,2.0,-34.543,-58.553623
61,80000.0,departamento,53.0,2.0,2217.485589082153,1.0,-34.545208,-58.554325
62,150000.0,departamento,65.0,2.0,2217.485589082153,1.0,-34.546192,-58.550297
63,85000.0,departamento,40.0,1.0,2217.485589082153,1.0,-34.54993,-58.555725
64,230000.0,departamento,106.0,3.0,2217.485589082153,2.0,-34.549435,-58.55595
65,260000.0,departamento,113.0,3.0,2217.485589082153,2.0,-34.54806,-58.555824
66,125000.0,departamento,55.0,1.0,2217.485589082153,2.0,-34.547466,-58.555145
67,235000.0,departamento,101.0,2.0,2217.485589082153,2.0,-34.547924,-58.55591
68,140000.0,departamento,59.0,2.0,2217.485589082153,1.0,-34.54768,-58.553123
69,360000.0,casa,224.0,4.0,2217.485589082153,2.0,-34.544724,-58.55836
70,120000.0,departamento,43.0,1.0,2217.485589082153,1.0,-34.54664,-58.558
71,145000.0,departamento,67.0,2.0,2217.485589082153,1.0,-34.545914,-58.554523
72,230000.0,casa,115.0,3.0,2217.485589082153,3.0,-34.543156,-58.553234
73,75000.0,departamento,28.0,0.0,2217.485589082153,1.0,-34.548855,-58.554848
74,150000.0,departamento,60.0,2.0,2217.485589082153,1.0,-34.548244,-58.555122
75,290000.0,departamento,124.0,3.0,2217.485589082153,2.0,-34.549927,-58.555668
76,360000.0,departamento,132.0,3.0,2217.485589082153,2.0,-34.544395,-58.55357
77,399000.0,departamento,220.0,4.0,2217.485589082153,5.0,-34.548515,-58.55378
78,160000.0,departamento,75.0,2.0,2217.485589082153,1.0,-34.547398,-58.553314
79,395000.0,casa,450.0,6.0,2217.485589082153,6.0,-34.547184,-58.557327
80,130000.0,ph,60.0,2.0,2217.485589082153,1.0,-34.545784,-58.559395
81,120000.0,ph,77.0,2.0,2217.485589082153,1.0,-34.54691,-58.55909
82,90000.0,departamento,52.0,2.0,2217.485589082153,1.0,-34.54531,-58.55599
83,179000.0,departamento,68.0,2.0,2217.485589082153,1.0,-34.548714,-58.55658
84,160000.0,departamento,90.0,2.0,2217.485589082153,1.0,-34.54898,-58.55653
85,126000.0,departamento,52.0,1.0,2217.485589082153,1.0,-34.54577,-58.5535
86,85000.0,departamento,42.0,1.0,2217.485589082153,1.0,-34.54741,-58.55334
87,85000.0,departamento,32.0,1.0,2217.485589082153,1.0,-34.547016,-58.55629
88,87000.0,departamento,31.0,1.0,2217.485589082153,1.0,-34.54572,-58.554474
89,245000.0,departamento,103.0,3.0,2217.485589082153,1.0,-34.54764,-58.55485
90,87000.0,departamento,41.0,1.0,2217.485589082153,1.0,-34.548546,-58.55709
91,92000.0,departamento,57.0,1.0,2217.485589082153,1.0,-34.548546,-58.55709
92,92000.0,departamento,48.0,1.0,2217.485589082153,1.0,-34.548546,-58.55709
93,300000.0,departamento,105.0,3.0,2217.485589082153,1.0,-34.54855,-58.55388
94,250000.0,departamento,70.0,2.0,2217.485589082153,2.0,-34.54817,-58.55783
95,87000.0,departamento,41.0,1.0,2217.485589082153,1.0,-34.548546,-58.55709
96,160000.0,casa,92.0,3.0,2217.485589082153,1.0,-34.548412,-58.558342
97,130000.0,ph,106.0,2.0,2217.485589082153,2.0,-34.54899,-58.55502
