,area,price/m2
0,Ballester - Alvear Norte,2070.572262084189
1,Ballester - Alvear Sur,1888.4403030801113
2,Ballester - Gral. Guido,1521.7596307437702
3,Ballester - Las Heras Norte,1765.7857047816735
4,Ballester - Las Heras Sur,1175.7822398471812
5,Ballester - Norte,1483.562826452511
6,Ballester - VIlla De Sucre,1340.6135118321959
7,Ballester - Villa Zapiola,899.1055632349401
8,Billinghurst - Norte,926.5980491452295
9,Billinghurst - Sur,988.4298570003201
10,Loma Hermosa,862.2648443991588
11,Lynch - Sur,1204.7070196435873
12,Lynch - Villa Chacabuco,1318.4119889343701
13,San Andres - Norte,1213.5157935631694
14,San Andres - Sur,1543.7146384903572
15,San Martin,1742.2401955047662
16,Suarez - Este,1188.4010440171107
17,Suarez - Oeste,856.7077903612244
18,Suarez - Villa Godoy Cruz,1285.8672618666785
19,Villa Maipu,1201.9975763866544
